data/fasta/Test_315.fa
[OK] 4yoc_A → torch.Size([882, 2560])
[OK] 5wmm_A → torch.Size([870, 2560])
[OK] 5e6u_A → torch.Size([583, 2560])
[OK] 4qj3_B → torch.Size([756, 2560])
[OK] 4cgy_A → torch.Size([619, 2560])
[OK] 5k04_A → torch.Size([732, 2560])
[OK] 4l79_A → torch.Size([734, 2560])
[OK] 6c90_A → torch.Size([694, 2560])
[OK] 4mh0_E → torch.Size([627, 2560])
[OK] 6x07_A → torch.Size([613, 2560])
[OK] 4ci6_B → torch.Size([576, 2560])
[OK] 6i8g_A → torch.Size([618, 2560])
[OK] 4cj0_A → torch.Size([534, 2560])
[OK] 6oq7_A → torch.Size([541, 2560])
[OK] 4yoc_C → torch.Size([529, 2560])
[OK] 6l4o_A → torch.Size([429, 2560])
[OK] 5imt_A → torch.Size([460, 2560])
[OK] 5c46_E → torch.Size([469, 2560])
[OK] 6c0b_A → torch.Size([506, 2560])
[OK] 6e8e_A → torch.Size([468, 2560])
[OK] 5xbf_A → torch.Size([467, 2560])
[OK] 4us0_S → torch.Size([454, 2560])
[OK] 4tx3_B → torch.Size([457, 2560])
[OK] 5cm8_A → torch.Size([419, 2560])
[OK] 4uaf_B → torch.Size([425, 2560])
[OK] 5cec_A → torch.Size([401, 2560])
[OK] 5kp7_A → torch.Size([410, 2560])
[OK] 6aw3_B → torch.Size([351, 2560])
[OK] 4zgy_A → torch.Size([383, 2560])
[OK] 6fcv_B → torch.Size([365, 2560])
[OK] 4tx3_A → torch.Size([373, 2560])
[OK] 7bxf_A → torch.Size([369, 2560])
[OK] 4qam_A → torch.Size([364, 2560])
[OK] 4n80_A → torch.Size([399, 2560])
[OK] 4ht3_B → torch.Size([393, 2560])
[OK] 6l1y_A → torch.Size([341, 2560])
[OK] 5wxk_A → torch.Size([375, 2560])
[OK] 4yc7_B → torch.Size([291, 2560])
[OK] 6i4e_A → torch.Size([351, 2560])
[OK] 4xga_A → torch.Size([347, 2560])
[OK] 5mu7_A → torch.Size([371, 2560])
[OK] 6kp3_A → torch.Size([357, 2560])
[OK] 5cxb_B → torch.Size([352, 2560])
[OK] 6x90_B → torch.Size([344, 2560])
[OK] 6l59_B → torch.Size([331, 2560])
[OK] 5xve_A → torch.Size([331, 2560])
[OK] 5kyc_B → torch.Size([340, 2560])
[OK] 6rll_B → torch.Size([303, 2560])
[OK] 6ei1_A → torch.Size([335, 2560])
[OK] 6jzy_A → torch.Size([342, 2560])
[OK] 6zmd_B → torch.Size([332, 2560])
[OK] 5czd_A → torch.Size([301, 2560])
[OK] 4zgn_A → torch.Size([279, 2560])
[OK] 6fv0_A → torch.Size([270, 2560])
[OK] 4x33_B → torch.Size([325, 2560])
[OK] 6ch3_A → torch.Size([324, 2560])
[OK] 6kip_B → torch.Size([272, 2560])
[OK] 6w2l_A → torch.Size([328, 2560])
[OK] 4m0w_A → torch.Size([317, 2560])
[OK] 4bmp_A → torch.Size([290, 2560])
[OK] 6g4j_A → torch.Size([273, 2560])
[OK] 5bz0_A → torch.Size([248, 2560])
[OK] 4xlg_A → torch.Size([260, 2560])
[OK] 5ffn_A → torch.Size([311, 2560])
[OK] 5maw_D → torch.Size([260, 2560])
[OK] 6u3w_B → torch.Size([291, 2560])
[OK] 4rca_A → torch.Size([300, 2560])
[OK] 5l2w_B → torch.Size([270, 2560])
[OK] 6aci_A → torch.Size([304, 2560])
[OK] 6kip_A → torch.Size([293, 2560])
[OK] 5ynm_A → torch.Size([290, 2560])
[OK] 6u3w_A → torch.Size([303, 2560])
[OK] 5il2_B → torch.Size([284, 2560])
[OK] 6gho_B → torch.Size([274, 2560])
[OK] 6rtw_A → torch.Size([277, 2560])
[OK] 6lki_A → torch.Size([294, 2560])
[OK] 5h65_A → torch.Size([289, 2560])
[OK] 5u8c_A → torch.Size([284, 2560])
[OK] 4x6r_B → torch.Size([290, 2560])
[OK] 5jqs_A → torch.Size([251, 2560])
[OK] 5vxm_A → torch.Size([243, 2560])
[OK] 5xly_A → torch.Size([267, 2560])
[OK] 5zwl_G → torch.Size([254, 2560])
[OK] 6qta_A → torch.Size([258, 2560])
[OK] 6vcl_A → torch.Size([275, 2560])
[OK] 6y4l_A → torch.Size([271, 2560])
[OK] 5oe7_A → torch.Size([266, 2560])
[OK] 4wem_A → torch.Size([248, 2560])
[OK] 4ht3_A → torch.Size([268, 2560])
[OK] 4rhz_A → torch.Size([259, 2560])
[OK] 6ine_A → torch.Size([247, 2560])
[OK] 6ird_B → torch.Size([254, 2560])
[OK] 6dfl_A → torch.Size([241, 2560])
[OK] 5tvq_A → torch.Size([253, 2560])
[OK] 4tth_A → torch.Size([244, 2560])
[OK] 6jzy_B → torch.Size([218, 2560])
[OK] 6swt_A → torch.Size([228, 2560])
[OK] 6wcw_A → torch.Size([247, 2560])
[OK] 6k9p_B → torch.Size([241, 2560])
[OK] 6m3i_B → torch.Size([234, 2560])
[OK] 5e8c_A → torch.Size([238, 2560])
[OK] 5jwo_A → torch.Size([217, 2560])
[OK] 4xga_B → torch.Size([174, 2560])
[OK] 5ncm_A → torch.Size([183, 2560])
[OK] 4yk8_B → torch.Size([194, 2560])
[OK] 6hul_A → torch.Size([241, 2560])
[OK] 6thl_A → torch.Size([219, 2560])
[OK] 5f4e_A → torch.Size([233, 2560])
[OK] 6rmn_B → torch.Size([222, 2560])
[OK] 6sdv_B → torch.Size([214, 2560])
[OK] 4yn0_B → torch.Size([202, 2560])
[OK] 4crw_A → torch.Size([226, 2560])
[OK] 4yxc_B → torch.Size([167, 2560])
[OK] 6isc_A → torch.Size([219, 2560])
[OK] 6imf_A → torch.Size([214, 2560])
[OK] 5dqs_A → torch.Size([210, 2560])
[OK] 5gpy_A → torch.Size([177, 2560])
[OK] 5jp1_A → torch.Size([199, 2560])
[OK] 4cgy_B → torch.Size([205, 2560])
[OK] 4bvx_A → torch.Size([203, 2560])
[OK] 4c2a_A → torch.Size([202, 2560])
[OK] 4wz3_B → torch.Size([183, 2560])
[OK] 5f4e_B → torch.Size([209, 2560])
[OK] 6h2u_A → torch.Size([202, 2560])
[OK] 6w2l_B → torch.Size([195, 2560])
[OK] 5ee5_A → torch.Size([201, 2560])
[OK] 5fr1_B → torch.Size([165, 2560])
[OK] 6mm8_D → torch.Size([206, 2560])
[OK] 5c2j_A → torch.Size([201, 2560])
[OK] 5eo9_B → torch.Size([205, 2560])
[OK] 5cm2_Z → torch.Size([184, 2560])
[OK] 6if2_A → torch.Size([195, 2560])
[OK] 4qam_B → torch.Size([180, 2560])
[OK] 4qlp_B → torch.Size([199, 2560])
[OK] 6l4p_A → torch.Size([195, 2560])
[OK] 5c50_A → torch.Size([198, 2560])
[OK] 6g8r_B → torch.Size([164, 2560])
[OK] 4zfr_A → torch.Size([185, 2560])
[OK] 5oec_A → torch.Size([187, 2560])
[OK] 4u5y_A → torch.Size([165, 2560])
[OK] 5c50_B → torch.Size([185, 2560])
[OK] 6pnp_A → torch.Size([193, 2560])
[OK] 4kdl_A → torch.Size([174, 2560])
[OK] 5chl_B → torch.Size([176, 2560])
[OK] 6ndu_A → torch.Size([170, 2560])
[OK] 6wtg_A → torch.Size([169, 2560])
[OK] 4wkz_B → torch.Size([184, 2560])
[OK] 4yn0_A → torch.Size([168, 2560])
[OK] 5b64_A → torch.Size([180, 2560])
[OK] 6lbu_A → torch.Size([185, 2560])
[OK] 6pgv_A → torch.Size([152, 2560])
[OK] 4ww7_B → torch.Size([172, 2560])
[OK] 4yk8_A → torch.Size([162, 2560])
[OK] 4zqu_B → torch.Size([174, 2560])
[OK] 6thl_B → torch.Size([150, 2560])
[OK] 5k22_A → torch.Size([156, 2560])
[OK] 4p3y_B → torch.Size([181, 2560])
[OK] 7cn7_A → torch.Size([178, 2560])
[OK] 4qxa_B → torch.Size([147, 2560])
[OK] 5o33_B → torch.Size([179, 2560])
[OK] 6w9s_A → torch.Size([178, 2560])
[OK] 6ine_B → torch.Size([159, 2560])
[OK] 6l1y_C → torch.Size([177, 2560])
[OK] 4qlp_A → torch.Size([175, 2560])
[OK] 5d5n_A → torch.Size([162, 2560])
[OK] 5oen_B → torch.Size([171, 2560])
[OK] 5w59_A → torch.Size([146, 2560])
[OK] 5v5h_A → torch.Size([163, 2560])
[OK] 6if3_A → torch.Size([159, 2560])
[OK] 5dmr_A → torch.Size([139, 2560])
[OK] 4bvx_B → torch.Size([170, 2560])
[OK] 5e8c_B → torch.Size([168, 2560])
[OK] 5oen_A → torch.Size([165, 2560])
[OK] 6lki_B → torch.Size([170, 2560])
[OK] 6mba_A → torch.Size([130, 2560])
[OK] 6mav_A → torch.Size([161, 2560])
[OK] 6pnp_B → torch.Size([132, 2560])
[OK] 6zdt_B → torch.Size([166, 2560])
[OK] 7azb_A → torch.Size([160, 2560])
[OK] 6ffa_A → torch.Size([156, 2560])
[OK] 3wso_B → torch.Size([139, 2560])
[OK] 6hlv_A → torch.Size([127, 2560])
[OK] 5jqp_B → torch.Size([131, 2560])
[OK] 4zv0_A → torch.Size([137, 2560])
[OK] 6vcl_B → torch.Size([160, 2560])
[OK] 4onm_B → torch.Size([149, 2560])
[OK] 4rlj_A → torch.Size([144, 2560])
[OK] 4xax_B → torch.Size([158, 2560])
[OK] 6ux8_A → torch.Size([152, 2560])
[OK] 5k22_B → torch.Size([149, 2560])
[OK] 5e0q_B → torch.Size([152, 2560])
[OK] 5szh_A → torch.Size([143, 2560])
[OK] 4uyq_A → torch.Size([143, 2560])
[OK] 4w6x_A → torch.Size([142, 2560])
[OK] 5dmb_A → torch.Size([140, 2560])
[OK] 5m2o_A → torch.Size([137, 2560])
[OK] 5v03_R → torch.Size([145, 2560])
[OK] 6dex_A → torch.Size([130, 2560])
[OK] 6g4j_B → torch.Size([122, 2560])
[OK] 4rlj_B → torch.Size([147, 2560])
[OK] 6bcb_A → torch.Size([145, 2560])
[OK] 5c2u_A → torch.Size([116, 2560])
[OK] 6zie_A → torch.Size([123, 2560])
[OK] 4y2o_B → torch.Size([142, 2560])
[OK] 5vgb_A → torch.Size([140, 2560])
